,hip1_hip2,hip1_hip2,hip1_hip2,hip2_upperlimb,hip2_upperlimb,hip2_upperlimb,upperlimb_knee,upperlimb_knee,upperlimb_knee,knee_ankle,knee_ankle,knee_ankle,ankle_toe1,ankle_toe1,ankle_toe1,toe1_toe2,toe1_toe2,toe1_toe2,,24.67001909
,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,,
90,3.478901745,154.9253298,0.97203815,43.78968237,132.1178679,0.979494095,103.3472022,118.6041983,0.99055773,110.8030104,42.82276741,0.97239542,16.02978103,39.64397645,0.950765431,33.97464333,131.8198901,0.971363902,,18.57303434
91,3.492080616,154.8892794,0.971763849,43.7636576,132.1565533,0.979353249,103.362847,118.5672481,0.990658522,110.8623869,42.78729217,0.972008824,15.96726903,39.60898097,0.950888395,34.05448564,131.7785972,0.970954716,,18.64545974
92,3.268125867,161.6430209,0.985230207,40.78034243,133.9540724,0.989564896,109.2231941,117.7295933,0.994788647,111.2374423,57.89254525,0.974149644,12.40572717,42.62768005,0.932628691,35.65337102,140.5644368,0.983516216,,4.377861439
93,3.565949627,185.1619929,0.993154883,40.76237573,132.8120719,0.992566824,108.5900965,116.7535082,0.993725896,111.2805801,66.6363083,0.979415417,16.98456538,58.22118108,0.960985065,35.99994993,154.9394703,0.977512836,,-3.389816457
94,1.465079387,146.4304612,0.988720298,41.47431002,132.6032865,0.983533978,106.9081164,112.3214122,0.991851211,111.1484393,82.91183444,0.95459193,16.99281001,66.53518695,0.956899405,35.95084597,167.7807858,0.977204561,,-15.23324664
95,3.12049083,228.6202571,0.314635873,294.9915961,107.3155486,0.187511533,145.0587008,276.0472242,0.247902989,117.3715638,77.98241684,0.720762193,5.009112944,49.69624784,0.584252298,47.71220934,149.9588443,0.376502424,,-174.029641
96,2.405700973,253.3550463,0.163728088,305.3917874,109.5239085,0.151293606,140.7987938,277.8593572,0.407371879,111.8255179,79.91144903,0.748195171,17.21945719,61.4810173,0.671138942,50.37984908,171.1558509,0.531648636,,-177.7708062
97,3.445536686,126.1125508,0.126828671,295.4530139,110.4471946,0.133621216,138.0551413,284.5895065,0.744338512,111.9585899,92.00428185,0.860092998,17.01702195,50.93654161,0.612922966,37.75042144,176.9581385,0.345080853,,-196.5937883
98,34.68673321,284.6799961,0.098747522,68.68480291,125.9377586,0.34746936,113.9698278,108.0793079,0.867097974,104.0760485,101.9380717,0.810311377,12.49293772,39.0852785,0.562096953,19.10388232,138.2899727,0.133114427,,-30.01737956
99,12.02634814,1.891341269,0.105388731,44.29895923,135.8761788,0.324665487,114.8409705,109.2574446,0.80583179,112.4657313,103.2821281,0.440593928,18.32701639,13.5931581,0.337787718,27.03012183,145.4911349,0.341358185,,-32.53957261
100,3.143763583,22.49910622,0.159677148,288.9007026,111.3083111,0.153132111,122.5149564,284.6975332,0.669854641,106.9104571,100.8380531,0.482905507,12.30146077,56.5194379,0.549809158,20.21912282,167.2909291,0.399507254,,-205.5355862
101,3.964213577,111.0866281,0.119307995,43.3882234,125.2041235,0.335424632,119.3174866,109.7541696,0.846334994,104.2251906,101.3035474,0.703714192,14.15730809,46.73567384,0.539990306,41.05863785,136.8450666,0.172471166,,-31.057717
102,5.440005117,135.2918659,0.171957433,49.76506235,129.1330469,0.295707881,108.8144759,107.1198642,0.848819494,110.9423418,99.13309786,0.908993125,12.99628454,61.47011004,0.7527408,37.6173189,179.741435,0.541308165,,-26.25296203
103,2.509689617,4.617976377,0.094381869,51.29334663,123.0061601,0.557681262,116.8636038,112.609851,0.901740789,113.0882918,94.91716482,0.722855091,6.605027938,106.8957624,0.65223068,40.36196748,159.3510495,0.376559705,,-27.52701587
104,2.899240217,353.6989148,0.291597873,36.92777368,139.2817461,0.915221214,116.2385015,113.7336176,0.96867156,117.5630527,87.17300838,0.83038795,2.70801277,127.58175,0.768214822,42.46012394,165.3938988,0.094844371,,-20.90662601
105,1.857696115,335.2212538,0.191457331,51.64367922,124.5431608,0.327668071,103.6552894,109.7533594,0.950281978,113.0195022,89.99946577,0.849346459,8.105275844,83.37822404,0.75675714,44.74299849,173.8131158,0.487126976,,-19.75282513
106,1.354530455,221.3841189,0.344076931,51.15698107,132.9008497,0.310190886,108.7126685,110.1502473,0.949672103,117.1995766,77.63476407,0.591759503,3.503083289,283.0842866,0.739919543,34.48409932,163.7877457,0.190272421,,-7.785011385
107,285.8405287,107.9047554,0.044618815,1.46575881,41.53556421,0.128737599,8.497647561,244.4307636,0.122126013,42.35004142,348.4271813,0.826123774,7.80153584,40.80574509,0.667950034,44.48913743,169.6785498,0.556306005,,-412.8579449
108,7.447024685,19.06227303,0.191653579,44.14430397,140.9793728,0.159799457,109.8283739,115.7407125,0.486871928,111.6846009,73.16016739,0.794133663,6.120927017,68.49262156,0.713921905,35.77985945,170.4325819,0.227215827,,-8.900879872
109,1.230099718,105.3982669,0.984364271,39.65708387,133.0847194,0.981705129,105.7901762,115.2825776,0.995976806,103.7018267,70.60049411,0.970541418,15.9945448,78.0849109,0.975405931,35.63786062,174.0777173,0.937823653,,-5.883071748
